Date/Time,Event,Session ID,Temp,Humidity,Methane - 12 bit ADC,
"March 11, 2021 at 08:36PM",ece477,102295,73.05772F,82.40%,716,
"March 11, 2021 at 08:36PM",ece477,102296,73.05772F,82.42%,717,
"March 11, 2021 at 08:36PM",ece477,102297,73.05772F,82.55%,717,
"March 11, 2021 at 08:36PM",ece477,102298,73.02572F,82.48%,709,
"March 11, 2021 at 08:36PM",ece477,102299,73.08974F,82.37%,710,
"March 11, 2021 at 08:36PM",ece477,102300,73.02572F,82.44%,715,
"March 11, 2021 at 08:36PM",ece477,102301,73.12175F,82.52%,716,
"March 11, 2021 at 08:36PM",ece477,102302,73.05772F,82.43%,714,
"March 11, 2021 at 08:37PM",ece477,102303,73.02572F,82.46%,718,
"March 11, 2021 at 08:37PM",ece477,102304,73.05772F,82.46%,718,
"March 11, 2021 at 08:37PM",ece477,102305,73.12175F,82.66%,719,
"March 11, 2021 at 08:37PM",ece477,102306,72.99371F,82.44%,714,
"March 11, 2021 at 08:37PM",ece477,102307,72.99371F,82.51%,705,
"March 11, 2021 at 08:37PM",ece477,102308,73.02572F,82.62%,715,
"March 11, 2021 at 08:37PM",ece477,102309,72.9617F,82.50%,706,
"March 11, 2021 at 08:37PM",ece477,102310,73.05772F,82.42%,716,
"March 11, 2021 at 08:37PM",ece477,102311,73.02572F,82.41%,719,
"March 11, 2021 at 08:37PM",ece477,102312,72.99371F,82.43%,715,
"March 11, 2021 at 08:38PM",ece477,102313,73.05772F,82.51%,714,
"March 11, 2021 at 08:38PM",ece477,102314,73.02572F,82.53%,717,
"March 11, 2021 at 08:38PM",ece477,102315,73.05772F,82.47%,713,
"March 11, 2021 at 08:38PM",ece477,102316,72.9617F,82.56%,711,
"March 11, 2021 at 08:38PM",ece477,102317,72.99371F,82.59%,718,
"March 11, 2021 at 08:38PM",ece477,102318,72.99371F,82.71%,710,
"March 11, 2021 at 08:38PM",ece477,102319,73.02572F,82.41%,720,
"March 11, 2021 at 08:38PM",ece477,102320,72.99371F,82.58%,711,
"March 11, 2021 at 08:38PM",ece477,102321,73.02572F,82.55%,709,
